No. 1 MU No. 1 Heavy Glider MU;RAF Kidbrooke between 9 April 1938 and 15 February 1947.RAF Netheravon between May 1943 and June 1946.;Repair Depot;Disbanded
No. 2 MU;RAF Broadheath between 9 April 1938 and 15 March 1957.Sub site at Pulham between 9 April 1938 and 12 August 1940.Sub site at Ridge Quarry, Corsham between 9 April 1938 and 31 December 1939.Sub site at RAF Bridleway Gate between 10 January 1944 and 10 May 1946. Sub site at Grange Quarry, Holywell between August 1939 and 15 March 1957. RAF Sealand between 15 March 1959 and 30 June 1969. Sub site at Ridge Quarry, Holywell between October 1959 and 30 June 1969.;AmmunitionEquipment Supply Depot;Disbanded to become sub site of 7 MU
No. 3 MU;RAF Milton between 9 April 1938 and 31 December 1959.Sub site at RAF Akeman Street between 9 April 1938 and January 1947. Sub site at RAF Bicester between May 1947 and 20 May 1958. Sub site at RAF Chessington between 15 April 1943 and 1 August 1945.Sub site at RAF Chilbolton between 18 October 1945 and 11 June 1948. Sub site at RAF Chipping Norton between 29 October 1945 and 3 October 1953. Sub site at RAF Croughton between 17 July 1946 and 30 June 1951. Sub site at RAF Gravesend between 17 February 1945 and 30 June 1951. Sub site at RAF Grove between 31 October 1948 and c.May 1953, 1 April 1955 and 31 December 1958. Sub site at RAF Hermitage between November 1941 and ???? Sub site at RAF Kidlington between 31 July 1948 and 31 March 1955. Sub site at RAF Kingston Bagpuize between 8 December 1944 and 15 June 1954. Sub site at RAF Membury between ???? and 31 March 1955. Sub site at RAF West Ruislip between 1 May 1947 and 30 June 1959. Sub site at RAF Sawbridgeworth between 1 December 1944 and 30 April 1947. Sub site at RAF Shellingford between May 1947 and 30 June 1948. Sub site at RAF Stanmore Park between October 1946 and 31 October 1949. Sub site at RAF Titchfield between 15 April 1945 and 2 July 1945. Sub site at RAF Titchfield between 31 December 1946 and 31 January 1947. Sub site at RAF Weston-on-the-Green between 1 October 1945 and 31 December 1947. Sub site at RAF Woodcote between 31 October 1947 and 31 October 1949. Sub site at RAF Woodcote between ???? and 31 January 1959.;Aircraft Equipment Depot;Disbanded
No. 4 MU;RAF West Ruislip between 9 April 1938 and 28 February 1957. Sub site at RAF Stanmore Park between 1 November 1939 and ???? Sub site at RAF Stanmore Park between 1 November 1949 and 28 February 1957.;Repair Depot;Disbanded
No. 5 MU;RAF Kemble between 22 June 1938 and 31 March 1983. Sub site at RAF Berrow between November 1941 and September 1942 Sub site at RAF Beechwood Park between May 1941 and 17 Mar 1943 Sub site at Bush Barn between 22 September 1941 and February 1943 Sub site at RAF Barnsley Park between 19 August 1942 and September 1945. Sub site at RAF Aston Down between 30 September 1960 and 31 March 1983.;Aircraft Storage Unit: Armstrong Whitworth Whitleys and Tiger Moths.;Disbanded 1983 to become USAF maintenance base, closed 1992.
No. 6 MU;RAF Brize Norton between 10 October 1938 and 31 December 1951. Sub site at RAF Barnsley Park between 1 July 1941 and 19 Aug 1942. Sub site at RAF Barton Abbey between February 1943 and February 1945. Sub site at Woburn Park between 1 July 1941 and 25 February 1943. Sub site at Woburn Park between Jan or Nov 1944 and May 1945. Sub site at RAF Watchfield between December 1940 and October 1941. Sub site at RAF Chipping Warden between 6 January 1946 and 11 December 1949. Sub site at RAF Market Harborough between 28 April 1947 and 5 October 1949.;Airspeed Horsas, Airspeed Oxfords, de Havilland Dragon Dominies. Bristol Blenheims, Handley Page Hampdens, Supermarine Spitfires and Fairey Battles.;Held German jets at some point while at Brize Norton. Disbanded
No. 7 MU;RAF Quedgeley between 15 April 1939 and 15 March 1996. Sub sites at : Aberporth 1940. Babdown Farm between 31 Jul 1945 and 30 Sep 1950. RAF Bibury between 1 Dec 1944 and 28 Feb 1950. Collaton Cross between 20 Aug and 22 Oct 1945. Enstone between 15 Jan and 28 Oct 1946. Llandaff between 26 May 1943 and 14 Apr 1947. Pucklechurch between 21 Apr and 19 Jul 1945 and 30 Nov 1946 to 10 Nov 1958. RAF Sealand between 1 Jul 1969 and Dec 1978. Staverton between 4 Jun 1945 and 11 Aug 1953. Stoke Orchard between 16 Sep 1946 and 6 Mar 1950. Titchfield between 31 Dec 1946 and 1 Feb 1947.;Aircraft Equipment Depot (Equipment Supply Depot): Airspeed Oxfords.;closed
No. 8 MU;RAF Little Rissington. between 7 Feb 1939 and 30 Jun 1957.;Airspeed Oxfords.;disbanded
No. 9 MU;RAF Cosford between 15 March 1939 and 22 June 1956. RAF Brockton between 1941 and unknown.No. 33 Satellite Landing Ground between October 1940 and Summer 1945.;Armstrong Whitworth Whitleys and Tiger Moths. Supermarine Spitfires and Vickers Wellingtons at RAF Brockton. Avro Ansons and Supermarine Spitfires at RAF Cosford. Supermarine Spitfires at RAF Weston Park.;disbanded
No. 10 MU;RAF Hullavington. between 8 Jul 1938 and 31 Dec 1959.;Aircraft Storage Unit: Airspeed Oxfords and Avro Ansons.;disbanded
