N21,Ia,251,EA,MIII,FF 25-5-39 To France 18-7-39
K5054,Proto,,EA,MC,FF 5-3-36 AAEE 26-5-36 trials Supermarine 16-6-36 AAEE 1-7-36 install Merlin F and armament AAEE 23-2-37 force-landed with engine problems Sutton Suffolk 22-3-37 riw AAEE 25-10-37 overshot landing and tipped up Martlesham Heath 15-3-38 ros u/c leg collapsed on landing Martlesham Heath 23-3-38 Supermarine for repair and mods AAEE 27-7-38 RAE 7-11-38 engine tests Stalled on landing and overturned Farnborough 4-9-39 pilot killed
K9787,Ia,1,EA,MII,FF 14-5-38 Mkrs trials RAE 5-38 to 6-38 Martlesham Heath 18-8-38 gun install 23-9-38 pyrotechnics 8-10-38 wire trials 19-10-38 spin and dive trials 27-10-38 electric trials 6-1-39 perf trials. Vickers 13-4-39 for incorporation of mods RAE 26-4-39 to replace K9852 as radio trials aircraft 15-5-39 operating trials at Martlesham Heath with K9788 and K9793 Martlesham Heath 15-6-39 fuel cons trials hand and diving trials with 30 different types of fixed pitch props. cockpit hood functioning trials which demo the canopy was difficult to open at 350mph Suggested remedy a second entry/exit door in fus as emergency. Super for install MIII and Rotol constant-speed 3-blade Jablo prop. AMDP Gloster aircraft 23-10-39 FIE shed RAE mods Cv PRIII Type C at 6MU 11-7-40 comparison trials with N3297 (proto Mk III) and fitt 7lb sliding inertia weight on elev control. PRU 1-6-41 FTR ops 30-6-41 FH363.50
K9788,Ia,2,EA,MII,AAEE 19-7-38 R-RH 27-7-38 two days invest MII high cool temps when ground run. Martlesham Heath 18-8-38 gun install maint and firing trials 23-9-38 pyrotechnics with 2x4in dia tubes for flares behind pilot in fus. Speed course trials RAE (straight 9ml rail line between RAE and Basingstoke used as rough and ready timing run) Martlesham Heath 15-5-39 trials with K9787 and K9793 R-R 30-6-39 MXII (RM3S) install. VA 16-12-39 repairs AAEE 21-12-40 for RM5S eng trials 1-3-41 perf and cool trials 1CRU Oxford 30-4-41 Cat B retired from active duty. Cv to Va Tarantia 8-11-42 Port Sudan 29-1-43 Middle East 24-2-43 SOC 27-7-44
K9789,Ia,3,EA,MII,19S Duxford 4-8-38 intensive service trials 4MU VA stripped for detailed exam MMO rep 11-9-39 9MU 10-1-40 65S 27-2-40 8MU 5-7-40 PRU 11-7-40 FACA 1-8-40 57OTU 28-11-40 FAAC 13-1-41 Westland 33MU 19-5-41 61OTU 22-11-41 FACB 7-4-42 ros 45MU 14-12-42 to 359M 14-12-44 2SoTT SOC
K9790,Ia,4,EA,MII,19S 11-8-38 intensive service trials VA stripped for detailed exam 6-5-39 9MU 18-12-39 AMDP VA 24-1-40 two months trials with ailerons 8MU 13-6-40 7OTU 7-7-40 crash-landing Hawarden CE 15-7-40 SOC 22-7-40
K9791,Ia,5,EA,MII,AMDP reserve aircraft for K9787 AAEE 5-10-38 Super 18-10-38 for use as trials and mods aircraft. Cannon mock-up on wings. trials with 3-blade 2-speed DeH prop 12-38 Martlesham Heath gun firing and assoc trials. DeH trials with constant-speed prop. trials aircraft for 2x70gal overload fuel tanks under wings. fitt MXII PDU Benson 4-6-40 FTR ops 17-8-40 FH126
K9792,Ia,6,EA,MII,originally allot AMDP no requirement 19S 29-7-38 CFS Cranwell 30-7-38 19S 16-8-38 crashed Duxford 3-11-38 SOC 31-11-38 to instructional airframe Grp Assemby 2SoTT FH41.35
K9793,Ia,7,EA,MII,AMDP Martlesham Heath 9-9-38 general equip electric syst and wire trials trials DeH 3-blade metal prop. Wt difference was an added 282lb. 135lb lead removed from eng bearers and 62lb install in rear fus. Super 7-12-38 Martlesham Heath 15-5-39 operating trials with K9787 and K9788 29-6-39 trials with various types of ailerons Short takeoff perf to determine min run. 3-7-39 trials with two types of magnetos RAE 8-7-39 continuation of ailerons trials with N3171 Serious lack of response in fast tight turns Martlesham Heath 12-7-39 short perf trials with 2-pitch metal prop RAE trials to det ignition interference with radio. trials install of snow guard on air intake 8MU 1-9-40 19S 1-9-40 92S Biggin Hill 1-9-40 shot down by Bf109 nr Dungeness 16.10hrs 11-9-40 P/O Hargraves killed SOC 5-10-40 FH164.50
K9794,Ia,8,EA,MII,19S Duxford 18-8-38 crash-landed Digby 10-1-39 CE SOC 18-4-39 FH36.35
K9795,Ia,9,EA,MII,"19S ""WZ-B"" Duxford 27-9-38 64S 18-4-40 shot down by AA fire Dover landed Hawkinge 13-7-40 49MU 15-7-40 49MU 15-7-40 GAL 603S 29-9-40 222S 14-10-40 engine failed crashed Terling 16.30hrs P/O Edridge safe C2 15-10-40 SOC 12-1-41 58OTU 26-2-41 to 4867M 6SoTT 1-1-42"
K9796,Ia,10,EA,MII,"19S 3-10-38 SOC 29-8-39 AST for Grp Assembly 21-11-39 cancel rep 8MU 13-6-40 AMDP RAE 11-7-40 flown by ETPS pilots was actively engaged with Luftwaffe during BoB while primarily trials aircraft one pilot was ""Roly"" Falk later test pilot of Avro Vulcan delta wing jet bomber. 7-40 to 5-41 extensive ailerons trials. Fitt special thin blade prop resulting in speed loss of 4mph AAEE 7-41 gun sight trials. Martlesham Heath 39MU 16-6-42 8MU 17-12-42 41GCF 31-3-44 SOC 30-4-45 FH149.00"
K9797,Ia,11,EA,MII,19S 7-10-38 engine failed while acting as target aircraft for cine gun practise force-landed Acton Sgt Unwin safe CE 9-3-39 Practise Flt Stradishall (non-flying) 11-5-39 SOC 8-6-39 FH88.55
K9798,Ia,13,EA,MII,"FF 30-7-38 19S ""WZ-L"" 17-9-38 wheels up landing Duxford 18-4-39 SOC 20-5-39 to 149M 1AAS 6SoTT 29-6-42 FH168.30"
K9799,Ia,14,EA,MII,19S 17-10-38 FACB 9-7-40 GAL 15-7-40 222S 31-8-40 C2 ops 2-9-40 1CRU 58OTU 2-1-41 FACB 2-1-41 Air Taxis Ltd 53OTU 1TEU 26-2-44 ASTE 12-8-44 SOC 18-8-44
K9800,Ia,16,EA,MII,19S 21-10-38 AST 18-3-40 5OTU 14-7-40 7OTU 21-8-40 FAC2 16-11-40 2GAS Manby 18-3-41 to 3277M 10SoTT 26-11-41 SOC 18-7-42 CE 13-5-44
K9801,Ia,18,EA,MII,"19S ""WZ-R"" 14-10-38 1CRU 28-5-40 7OTU 14-9-40 FAC2 28-10-40 58OTU 3-1-41 61OTU 14-10-41 AST CB 6-1-42 53OTU 14-7-42 FAAC 6-2-43 AEAF Heston 31-12-43 53OTU 19-5-44 39MU 4-8-44 SOC 18-1-45"
K9802,Ia,20,EA,MII,66S Duxford 31-10-38 wheels up landing Duxford dbr 25-4-39 SOC 17-5-39 FH93.35
K9803,Ia,29,EA,MII,66S 28-10-38 616S 30-10-39 19S 3-5-40 603S 13-9-40 damaged by Bf109 nr Ashford Kent Sgt Baile safe C2 18-9-40 45MU 23-2-41 HAL 30-3-41 AW 8-11-41 61OTU 19-3-43 FACB 8-1-44 OTU 21-5-44 33MU 13-8-44 SOC 21-6-47
K9804,Ia,23,EA,MII,"66S ""RB-P"" 23-10-38 616S 20-10-39 damaged night landing at base 5-40 Missing from patrol over Dunkerque 28-5-40 FH234.45"
K9805,Ia,25,EA,MII,"66S ""RB-R"" 18-11-38 41S 27-5-39 64S 19-4-40 CAC ops 23-11-40 53OTU 16-7-41 FAAC 25-2-42 Scottish Aviation 1-9-42 58OTU 24-3-43 9MU 14-2-44 RNDA 17-3-44 33MU 10-8-44 SOC 4-45"
K9806,Ia,27,EA,MII,"66S ""L"" later ""RB-A"" 18-11-38 wheels up landing Duxford 18-7-39 SOC 25-8-39 to 1638M 1SoTT 25-8-39 rtp 26-5-44"
K9807,Ia,12,EA,MII,FF 10-10-38 19S 11-10-38 616S 7-8-40 C2 ops 15-8-40 603S 29-9-40 shot down by Bf109 P/O Morton abandoned aircraft 5-10-40
K9808,Ia,15,EA,MII,19S 18-10-38 crashed force-landed Egmere Norfolk 28-11-38 to 123M 2SoTT 22-1-39
K9809,Ia,17,EA,MII,19S Duxford 25-10-38 dived into ground on takeoff 1.5m from Duxford pilot killed 29-2-40 CE SOC 15-3-40
K9810,Ia,19,EA,MII,"66S ""RB-S"" 31-10-38 RAE 17-4-39 19S ""WZ-R"" 616S 15-11-39 Flew into sea in low cloud on convoy escort 12m ESE of Hornsea 21-2-40 F/Lt A W Wilson killed"
K9811,Ia,21,EA,MII,19S 5-11-38 crashed force-landed Clare Suffolk 24-1-40 54MU 2-2-40 SOC 6-2-40
K9812,Ia,22,EA,MII,"66S ""RB-T"" 28-10-38 engine failed crashed into wood nr Royston Cambs 16-2-39 to 1382M Cosford 31-3-39 FH26.55"
K9813,Ia,24,EA,MII,66S 8-11-38 41S 1-6-39 64S 11-8-39 Combat with Me110s Dunkirk 31-5-40 F/Sgt Hatch POW died later
K9814,Ia,26,EA,MII,FF 6-11-38 alloc 66S cancel 6MU Brize Norton in special finish and flown to Paris Aero Show via Croydon 14-11-38 demo at French airfields after show 6MU 9-2-39 5OTU 28-5-40 Collided on landing with Gladiators K7951 and K7943 Aston Down 3-6-40 CB 1CRU SOC 19-6-40
K9815,Ia,28,EA,MII,66S 23-11-38 41S 8-3-39 19S 23-1-40 609S 13-7-40 Pilot blinded by glycol fumes crash-landed Piddlehinton Dorset 26-7-40 SOC 1-8-40 FH286.15
K9816,Ia,30,EA,MII,66S 23-11-38 crash-landed Duxford 1-12-38 SOC 24-1-39 scrap
K9817,Ia,31,EA,MII,66S 29-11-38 616S 17-11-39 FAC2 7-8-40 PRU 20-9-40 Scottish Aviation 6-10-40 58OTU 13-1-41 FACB 21-3-41 53OTU 17-7-41 58OTU 3-2-43 FACB 26-2-43 Scottish Aviation RNAS 23-5-43 759S Yeovilton 8-43 to 11-43 794S Henstridge 11-43 759S Yeovilton 9-44 Retd RAF charge 13-4-45
K9818,Ia,32,EA,MII,FF 28-11-38 66S 28-11-38 616S 30-10-39 damaged ops 1-6-40 610S 27-8-40 crashed Ainmouth F/O Bacon killed 30-9-40
K9819,Ia,33,EA,MII,FF 29-11-38 66S 29-11-38 616S 8-11-39 shot down nr Calais Sgt Wareing POW 25-8-40
K9820,Ia,34,EA,MII,19S 1-12-38 crash-landed Duxford 16-1-39 to 1361M 22-3-39 1SoTT SOC 13-2-43 FH253.30
K9821,Ia,36,EA,MII,FF 2-12-38 19S 5-12-38 air collision with K9854 force-landed Newton Heath 6-10-39 FAC 29-5-40 54MU AST FACE 2-7-40 47OTU 14-11-40 SOC 20-7-41
K9822,Ia,37,EA,MII,66S 6-12-38 crash-landed Duxford 6-1-39 to 1357M Cosford 3-5-39 FH8.35
K9823,Ia,38,EA,MII,66S 10-12-38 RAE 7-40 57OTU 31-10-40 43Grp 9-4-41 53OTU 17-7-41 PPSM 16-4-42 RNAS 13-5-43 761S Henstridge 5-43 to 8-43 759S Yeovilton 8-43-11-43 794S Henstridge 11-43 761S Henstridge tested 28-1-44
K9824,Ia,39,EA,MII,FF 6-12-38 First with MIII 19S 9-12-38 5OTU 4-6-40 7OTU 30-10-40 FACB 28-3-41 57OTU 7-6-41 FA del flt CB 4-9-41 CGS 15-10-41 SF St.Athan 13-6-42 air collision with N3266 crashed Long Whitton Northumberland CE 19-11-43 pilot killed
